name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
HIMALAYA,9314882,09/05/2025,Panama,PLW,RUNA,50,2025-06-28,False
MAINI,9319870,09/05/2025,,MWI,MAINI,50,2025-06-28,False
EMINENT,9383950,21/07/2025,Barbados,GMB,EMINENT,50,2025-09-09,False
FEARLESS,9513139,21/07/2025,Comoros,GMB,FEARLESS,50,2025-09-09,False
ECHO,9276030,21/07/2025,Barbados,GMB,ECHO,51,2025-09-10,False
HU PO,9319686,09/05/2025,Panama,MWI,HU PO,53,2025-07-01,False
RIGEL,9296406,09/05/2025,Panama,MWI,RIGEL,53,2025-07-01,True
LALIQUE,9247792,09/05/2025,Panama,MWI,CECILA,53,2025-07-01,False
CHEN LU,9404948,24/02/2025,Panama,DJI,CHEN LU,54,2025-04-19,True
TENDUA,9299862,09/05/2025,Panama,MWI,AMATRA,54,2025-07-02,False
VAYU 1,9290517,09/05/2025,Gabon,MWI,VAYU 1,54,2025-07-02,False
XUE SONG,9428358,09/05/2025,Gabon,MWI,SONA,55,2025-07-03,False
PREMIER,9577082,21/07/2025,Comoros,GMB,PREMIER,55,2025-09-14,False
VLADIMIR ARSENYEV,9901025,21/07/2025,Comoros,GMB,VLADIMIR ARSENYEV,55,2025-09-14,False
ZALIV BAIKAL,9360128,21/07/2025,Comoros,OMN,ZALIV BAIKAL,55,2025-09-14,False
SMYRTOS,9389100,15/10/2025,,CMR,SMYRTOS,55,2025-12-09,True
GENJI,9289738,09/05/2025,Gabon,COM,GENJI,56,2025-07-04,False
MARBLE,9323974,09/05/2025,,PLW,MARBLE,56,2025-07-04,False
KSENA,9232888,25/11/2024,Panama,GMB,AILAMA,57,2025-01-21,False
CHANDRA,9353125,09/05/2025,Panama,MWI,ADHARA,57,2025-07-05,False
SAPPHIRE,9309576,21/07/2025,Barbados,MLI,SILVER,57,2025-09-16,False
SPRING FORTUNE,9386536,20/05/2025,Panama,GMB,SPRING FORTUNE,58,2025-07-17,False
GURUDEV,9253234,09/05/2025,Panama,MWI,SATNA,59,2025-07-07,False
TRIUMPH,9344033,21/07/2025,,MLI,TRIUM,59,2025-09-18,False
JAGUAR,9354301,21/07/2025,Barbados,GMB,JAGGER,60,2025-09-19,False
JALDHARA,9304825,24/02/2025,Panama,GNB,JALDHARA,61,2025-04-26,False
CLYDE NOBLE,9282792,09/05/2025,Palau,ABW,AQUA LIVE,61,2025-07-09,True
ENIGMA,9333412,09/05/2025,Barbados,GMB,ENIGMA,63,2025-07-11,False
IMO 9305556 ('MARVEN'),9305556,16/06/2026,Cameroon,RUS,KRION,63,2026-08-18,False
PYTHON,9250531,25/11/2024,Cook Islands,CMR,PYTHON,64,2025-01-28,False
KELLY GRACE,9331141,25/11/2024,Barbados,STP,KELLY GRACE,64,2025-01-28,False
PACIFIC,9329667,21/07/2025,Comoros,GMB,PACIFIC,64,2025-09-23,False
GRIF,9332028,24/02/2026,,CMR,GRIF,64,2026-04-29,False
IMO 9337418 ('ATMOS'),9337418,16/06/2026,,RUS,TSIRKON,64,2026-08-19,False
MAISHA,9232929,09/05/2025,,BEN,MAISHA,66,2025-07-14,True
BRIONT,9252955,24/02/2026,,CMR,BRIONT,66,2026-05-01,False
SAI BABA,9321691,17/10/2024,Gabon,DJI,LAHAR,67,2024-12-23,False
THANE,9237228,09/05/2025,San Marino,COM,SOMA,67,2025-07-15,True
MAISAN,9289776,09/05/2025,,BEN,MAISAN,67,2025-07-15,False
SYMPHONY,9309588,21/07/2025,Comoros,GMB,SYMPHONY,67,2025-09-26,False
VELMAR,9832547,21/07/2025,Barbados,GMB,VELMAR,67,2025-09-26,False
VOYAGER,9843560,21/07/2025,Comoros,OMN,VOYAGER,67,2025-09-26,True
HUANG HE,9306627,09/05/2025,Panama,BEN,WU TONG,68,2025-07-16,False
RUBY CROSS,9350654,21/07/2025,Comoros,ZWE,RUBY CROSS,69,2025-09-28,False
INA,9308443,09/05/2025,Antigua and Barbuda,BEN,INA,70,2025-07-18,False
MISSONI,9296810,20/05/2025,Panama,AGO,NAVISTAR,70,2025-07-29,False
MERU,9187227,21/07/2025,Comoros,GMB,MERU,70,2025-09-29,False
PRAVASI,9409467,24/02/2025,Gabon,GIN,PRAVASI,72,2025-05-07,False
SIRIUS,9422445,21/07/2025,Comoros,OMN,RESPECT,72,2025-10-01,True
TREND,9231509,09/05/2025,Barbados,GIN,CHIOS,73,2025-07-21,False
ALISSA,9273052,09/05/2025,Gabon,MLI,SOUFIA 1,73,2025-07-21,False
SIRIUS 1,9285847,12/09/2025,,,SHINE,73,2025-11-24,True
ATLAS,9413573,17/10/2024,Barbados,STP,ATLAS,74,2024-12-30,False
NURKEZ,9253325,17/12/2024,Panama,STP,ROSALIN,74,2025-03-01,False
PATHFINDER,9577094,21/07/2025,Barbados,OMN,GARNET,75,2025-10-04,False
SUN,9293117,21/07/2025,Antigua and Barbuda,,SUN,75,2025-10-04,False
OCEAN FAYE,9321689,17/12/2024,Honduras,TZA,OCEAN FAYE,76,2025-03-03,False
RICCA,9292577,20/05/2025,Panama,GMB,NEXUS,76,2025-08-04,True
DELVINA,9331153,25/11/2024,Barbados,STP,DELVINA,77,2025-02-10,False
MITZEL,9233741,21/07/2025,Comoros,GMB,MITZEL,77,2025-10-06,False
AURA MARIS,9347308,15/10/2025,Panama,CMR,AURA MARIS,77,2025-12-31,False
BAI LU,9388780,24/02/2025,Panama,STP,BAI LU,78,2025-05-13,False
PRUDENCE,9271585,21/07/2025,Comoros,RUS,KOMANDER,78,2025-10-07,False
JI SHUN,9384447,09/05/2025,Panama,SLE,JI SHUN,79,2025-07-27,True
BLACKSEA EAGLE,9495832,21/07/2025,Panama,BEN,PAXMARIS,79,2025-10-08,False
ZAMBRA,9175078,21/07/2025,Panama,GMB,ZAMBRA,79,2025-10-08,False
SAKINA,9530917,21/07/2025,Comoros,GMB,SAKINA,80,2025-10-09,False
AZURE CELESTE,9288722,17/10/2024,Cook Islands,TZA,AZURE CELESTE,82,2025-01-07,False
Wan Heng 11,8791667,30/03/2018,North Korea,PRK,KUMJINGANG3,83,2018-06-21,False
EASTERN PEARL,9285859,17/10/2024,Honduras,TZA,EASTERN PEARL,83,2025-01-08,False
SEZAR,9259991,09/05/2025,Panama,AGO,PERIDOT,83,2025-07-31,False
KUDOS STARS,9288710,17/10/2024,Cook Islands,TZA,KUDOS STARS,84,2025-01-09,False
PROMETEI,9296597,24/02/2026,Sierra Leone,SLE,PROMETEI,84,2026-05-19,False
TURBO VOYAGER,9299898,17/10/2024,Cook Islands,TZA,TURBO VOYAGER,85,2025-01-10,False
GAURI,9270749,09/05/2025,Barbados,PLW,BELA,85,2025-08-02,False
CETUS,9418482,20/05/2025,,GMB,CETUS,85,2025-08-13,False
NILANGA,9412452,24/02/2026,Sierra Leone,GNQ,NILANGA,85,2026-05-20,False
APATE,9433016,24/02/2026,,CMR,APATE,85,2026-05-20,False
ASHER,9258868,17/12/2024,Vietnam,COM,NOCTIS,86,2025-03-13,False
MD MIRANDA,9198290,09/05/2025,,TON,MD MIRANDA,86,2025-08-03,False
GOGLAND,9430210,17/06/2025,Palau,CMR,GOGLAND,86,2025-09-11,True
INDRAS,9314894,09/05/2025,Panama,SLE,INDRAS,87,2025-08-04,False
SAMIRA,9436006,21/07/2025,Comoros,GMB,SAMIRA,88,2025-10-17,False
HYPERION,9322968,21/07/2025,Comoros,GMB,HYPERION,88,2025-10-17,False
SINAR G,9323364,15/10/2025,Panama,CMR,SILVER ICE,88,2026-01-11,False
NEXT,9286023,20/05/2025,Guinea-Bissau,VUT,OPAL,89,2025-08-17,False
NOBLE,9333400,24/02/2025,Barbados,COM,NOBLE,91,2025-05-26,False
SURYA,9388742,24/02/2025,Djibouti,COM,FONDEYA,91,2025-05-26,False
LNG SOARS,9307205,24/02/2026,,PAN,LNG SCORPIO,91,2026-05-26,False
MOTI,9281011,17/12/2024,Djibouti,COM,DIANCHI,92,2025-03-19,False
NOVA ENERGY,9324277,26/09/2024,Panama,PAN,NOVA ENERGY,93,2024-12-28,False
ARIA,9397559,24/02/2025,Barbados,RUS,ARIA,93,2025-05-28,False
SAGA,9318553,21/07/2025,Barbados,GMB,SAGA,93,2025-10-22,False
TEAM,9292589,20/05/2025,Panama,VUT,LOGANO,94,2025-08-22,False
